"BaseIdentifier","Action","FolderName","KeptFolder","Status","Error"
"d64_Orbitron_1984_Mastertronic","DELETE","d64_Orbitron_1984_Mastertronic_h_ASS","d64_Orbitron_1984_Mastertronic","Deleted",""
"zx_President_1987_Addictive","DELETE","zx_President_1987_Addictive_Games_a","zx_President_1987_Addictive_Games","Deleted",""
"a8b_Pitstop_1985_Value","DELETE","a8b_Pitstop_1985_Value_U_Line_US_a","a8b_Pitstop_1985_Value_U_Line_US","Deleted",""
"zx_F_15_Strike","DELETE","zx_F_15_Strike_Eagle_1986_Microprose_Software_a","zx_F_15_Strike_Eagle_1986_Microprose_Software","Deleted",""
"zx_Claws_of_Despair","DELETE","zx_Claws_of_Despair_The_1986_Players_Software_a","zx_Claws_of_Despair_The_1986_Players_Software","Deleted",""
"zx_Claws_of_Despair","DELETE","zx_Claws_of_Despair_The_1986_Players_Software_a2","zx_Claws_of_Despair_The_1986_Players_Software","Deleted",""
"zx_Urban_Upstart_1983","DELETE","zx_Urban_Upstart_1983_Richard_Shepherd_Software_a","zx_Urban_Upstart_1983_Richard_Shepherd_Software","Deleted",""
"zx_Combat_Lynx_1984","DELETE","zx_Combat_Lynx_1984_Durell_Software_a","zx_Combat_Lynx_1984_Durell_Software","Deleted",""
"zx_Combat_Lynx_1984","DELETE","zx_Combat_Lynx_1984_Durell_Software_a2","zx_Combat_Lynx_1984_Durell_Software","Deleted",""
"zx_Combat_Lynx_1984","DELETE","zx_Combat_Lynx_1984_Durell_Software_a3","zx_Combat_Lynx_1984_Durell_Software","Deleted",""
"zx_Combat_Lynx_1984","DELETE","zx_Combat_Lynx_1984_Durell_Software_a4","zx_Combat_Lynx_1984_Durell_Software","Deleted",""
"Dan_Dare_Pilot_of","DELETE","Dan_Dare_Pilot_of_the_Future_1986_Virgin_Games_h_HTL","Dan_Dare_Pilot_of_the_Future_1986_Virgin_Games","Deleted",""
"zx_Australian_Rules_Football","DELETE","zx_Australian_Rules_Football_The_Outback_Amateur_League_1989_Again_Again_128K","zx_Australian_Rules_Football_The_Outback_Amateur_League_1989_Again_Again","Deleted",""
"zx_Australian_Rules_Football","DELETE","zx_Australian_Rules_Football_The_Victorian_Football_League_1989_Again_Again","zx_Australian_Rules_Football_The_Outback_Amateur_League_1989_Again_Again","Deleted",""
"zx_Australian_Rules_Football","DELETE","zx_Australian_Rules_Football_The_Victorian_Football_League_1989_Again_Again_128K.z8","zx_Australian_Rules_Football_The_Outback_Amateur_League_1989_Again_Again","Deleted",""
"zx_Australian_Rules_Football","DELETE","zx_Australian_Rules_Football_The_Victorian_Football_League_1989_Again_Again_a","zx_Australian_Rules_Football_The_Outback_Amateur_League_1989_Again_Again","Deleted",""
"zx_Australian_Rules_Football","DELETE","zx_Australian_Rules_Football_The_Victorian_Football_League_1989_Again_Again_a2","zx_Australian_Rules_Football_The_Outback_Amateur_League_1989_Again_Again","Deleted",""
"d64_Uuno_Turhapuro_Muuttaa","DELETE","d64_Uuno_Turhapuro_Muuttaa_Maalle_1986_Amersoft_h_ByterapersSharks","d64_Uuno_Turhapuro_Muuttaa_Maalle_1986_Amersoft_FI","Deleted",""
"zx_Fall_of_Rome","DELETE","zx_Fall_of_Rome_The_1984_ASP_Software_a","zx_Fall_of_Rome_The_1984_ASP_Software","Deleted",""
