"Action","FolderName","FromPath","ToPath","Year","Status"
"MOVE","a8b_Alternate_Reality_The_City_1985_Datasoft_US_Character_Disk","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Alternate_Reality_The_City_1985_Datasoft_US_Character_Disk","..\thumbnails-deduped\1985\a8b_Alternate_Reality_The_City_1985_Datasoft_US_Character_Disk","1985","Success"
"MOVE","a8b_Amaurote_1987_Mastertronic_GB_cr_Spider_Man_Ebo_k_file","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Amaurote_1987_Mastertronic_GB_cr_Spider_Man_Ebo_k_file","..\thumbnails-deduped\1987\a8b_Amaurote_1987_Mastertronic_GB_cr_Spider_Man_Ebo_k_file","1987","Success"
"MOVE","a8b_Arcade_Fruit_Machine_1990_Zeppelin_Games_GB_cr_Burton_Bandit_a_k_file","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Arcade_Fruit_Machine_1990_Zeppelin_Games_GB_cr_Burton_Bandit_a_k_file","..\thumbnails-deduped\1990\a8b_Arcade_Fruit_Machine_1990_Zeppelin_Games_GB_cr_Burton_Bandit_a_k_file","1990","Success"
"MOVE","a8b_Archon_1983_Electronic_Arts_US_a_k_file","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Archon_1983_Electronic_Arts_US_a_k_file","..\thumbnails-deduped\1983\a8b_Archon_1983_Electronic_Arts_US_a_k_file","1983","Success"
"MOVE","a8b_Archon_II_Adept_1984_Electronic_Arts_US","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Archon_II_Adept_1984_Electronic_Arts_US","..\thumbnails-deduped\1984\a8b_Archon_II_Adept_1984_Electronic_Arts_US","1984","Success"
"MOVE","a8b_Ardy_the_Aardvark_1983_Datamost_US","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Ardy_the_Aardvark_1983_Datamost_US","..\thumbnails-deduped\1983\a8b_Ardy_the_Aardvark_1983_Datamost_US","1983","Success"
"MOVE","a8b_Arena_3000_1982_Med_Systems_US_a_k_file","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Arena_3000_1982_Med_Systems_US_a_k_file","..\thumbnails-deduped\1982\a8b_Arena_3000_1982_Med_Systems_US_a_k_file","1982","Success"
"MOVE","a8b_Arena_3000_1984_Microdeal_GB_k_file","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Arena_3000_1984_Microdeal_GB_k_file","..\thumbnails-deduped\1984\a8b_Arena_3000_1984_Microdeal_GB_k_file","1984","Success"
"MOVE","a8b_Arkanoid_1987_Imagine_GB","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Arkanoid_1987_Imagine_GB","..\thumbnails-deduped\1987\a8b_Arkanoid_1987_Imagine_GB","1987","Success"
"MOVE","a8b_Astro_Chase_1982_First_Star_Software_US","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Astro_Chase_1982_First_Star_Software_US","..\thumbnails-deduped\1982\a8b_Astro_Chase_1982_First_Star_Software_US","1982","Success"
"MOVE","a8b_Astro_Grover_1984_CBS_Software_US_k_file","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Astro_Grover_1984_CBS_Software_US_k_file","..\thumbnails-deduped\1984\a8b_Astro_Grover_1984_CBS_Software_US_k_file","1984","Success"
"MOVE","a8b_Attack_of_the_Mutant_Camels_1983_Human_Engineered_Software_US_aka_Gridrunner_II_","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Attack_of_the_Mutant_Camels_1983_Human_Engineered_Software_US_aka_Gridrunner_II_","..\thumbnails-deduped\1983\a8b_Attack_of_the_Mutant_Camels_1983_Human_Engineered_Software_US_aka_Gridrunner_II_","1983","Success"
"MOVE","a8b_Axis_Assassin_1983_Electronic_Arts_US","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Axis_Assassin_1983_Electronic_Arts_US","..\thumbnails-deduped\1983\a8b_Axis_Assassin_1983_Electronic_Arts_US","1983","Success"
"MOVE","a8b_Aztec_1982_Datamost_US","C:\Users\grant\projects\C64-Museum\thumbnails-deduped\a8b_Aztec_1982_Datamost_US","..\thumbnails-deduped\1982\a8b_Aztec_1982_Datamost_US","1982","Success"
